Date	Open	High	Low	Close	Volume	Ex-Dividend	Split Ratio	Adj. Open	Adj. High	Adj. Low	Adj. Close	Adj. Volume	+/-	% change	
2017-01-09	84.06	84.66	83.75	84.4	11000479.0	0.0	1.0	82.1242805214	82.7104638228	81.8214191491	82.4564510589	11000479.0	+	0.404472995551	
2017-01-10	84.34	84.43	83.24	83.49	10918153.0	0.0	1.0	82.3978327287	82.4857602239	81.3231633429	81.5674063851	10918153.0	-	-1.00782546834	
2017-01-11	83.39	83.75	83.275	83.75	9572286.0	0.0	1.0	81.4697091682	81.8214191491	81.3573573688	81.8214191491	9572286.0	+	0.43170643972	
2017-01-12	83.71	83.88	83.3701	83.84	6545444.0	0.0	1.0	81.7823402623	81.948425531	81.4502674221	81.9093466443	6545444.0	+	0.155298052847	
2017-01-13	83.85	84.02	83.44	84.01	6762626.0	0.0	1.0	81.919116366	82.0852016347	81.5185577767	82.075431913	6762626.0	+	0.190816934965	
2017-01-17	83.9	85.58	83.88	85.21	13145073.0	0.0	1.0	81.9679649744	83.6092782182	81.948425531	83.2477985157	13145073.0	+	1.56138259831	
2017-01-18	84.8	85.3	84.59	84.93	10521181.0	0.669	1.0	83.4998338686	83.9921677948	83.2930536197	83.6278406894	10521181.0	+	0.153301886805	
2017-01-19	84.63	85.0	84.28	84.7	14074464.0	0.0	1.0	83.3324403338	83.6967674391	82.9878065855	83.4013670834	14074464.0	+	0.0827129858719	
2017-01-20	86.89	87.975	86.42	87.45	22926300.0	0.0	1.0	85.5577896798	86.6261542995	85.0949957892	86.109203677	22926300.0	+	0.64449303712	
2017-01-23	87.09	87.35	86.85	86.96	9408004.0	0.0	1.0	85.7547232502	86.0107368918	85.5184029657	85.6267164295	9408004.0	-	-0.149270869112	
2017-01-24	87.22	87.95	87.22	87.86	8704722.0	0.0	1.0	85.882730071	86.6015376032	85.882730071	86.5129174965	8704722.0	+	0.733776656819	
2017-01-25	87.84	87.9	87.06	87.16	8082874.0	0.0	1.0	86.4932241394	86.5523042105	85.7251832147	85.8236499999	8082874.0	-	-0.774134790514	
2017-01-26	87.12	87.23	86.59	86.6	6540385.0	0.0	1.0	85.7842632858	85.8925767496	85.2623893241	85.2722360027	6540385.0	-	-0.596877869539	
2017-01-27	86.45	86.85	86.02	86.72	9332303.0	0.0	1.0	85.1245358248	85.5184029657	84.7011286484	85.3903961449	9332303.0	+	0.312319259687	
2017-01-30	86.78	86.86	86.5	86.75	7349936.0	0.0	1.0	85.4494762161	85.5282496442	85.1737692174	85.4199361805	7349936.0	-	-0.0345701774991	
2017-01-31	86.63	87.66	86.53	87.6	9707265.0	0.0	1.0	85.3017760382	86.315983926	85.203309253	86.2569038549	9707265.0	+	1.11970449041	
2017-02-01	87.03	87.59	86.75	87.33	8291514.0	0.0	1.0	85.6956431791	86.2470571764	85.4199361805	85.9910435348	8291514.0	+	0.344708721169	
2017-02-02	87.61	88.35	87.25	87.76	8997158.0	0.0	1.0	86.2667505334	86.995404744	85.9122701066	86.4144507112	8997158.0	+	0.171213331772	
2017-02-03	88.12	88.17	87.39	87.41	7161948.0	0.0	1.0	86.768931138	86.8181645306	86.0501236059	86.069816963	7161948.0	-	-0.805719473354	
2017-02-06	87.5	87.785	87.13	87.4	7482963.0	0.0	1.0	86.1584370697	86.4390674075	85.7941099643	86.0599702844	7482963.0	-	-0.114285714376	
2017-02-07	87.64	88.28	87.475	88.01	6646055.0	0.0	1.0	86.296290569	86.9264779944	86.1338203733	86.6606176743	6646055.0	+	0.422181652187	
2017-02-08	88.07	88.34	87.81	88.33	6815753.0	0.0	1.0	86.7196977454	86.9855580655	86.4636841038	86.975711387	6815753.0	+	0.295219711618	
2017-02-09	88.25	88.78	88.03	88.67	9914070.0	0.0	1.0	86.8969379588	87.4188119205	86.6803110313	87.3104984568	9914070.0	+	0.475920679962	
2017-02-10	88.56	88.73	87.965	87.97	11057552.0	0.0	1.0	87.202184993	87.3695785279	86.6163076209	86.6212309602	11057552.0	-	-0.666214995469	
2017-02-13	88.04	88.355	87.64	88.31	6905130.0	0.0	1.0	86.6901577099	87.0003280833	86.296290569	86.95601803	6905130.0	+	0.306678782371	
2017-02-14	88.0	88.22	87.23	87.86	20110631.0	0.0	1.0	86.6507709958	86.8673979233	85.8925767496	86.5129174965	20110631.0	-	-0.159090909078	
2017-02-15	89.81	91.15	89.81	91.12	25847697.0	0.0	1.0	88.4330198083	89.7524747303	88.4330198083	89.7229346947	25847697.0	+	1.45863489588	
2017-02-16	90.92	91.12	90.54	90.79	12408473.0	0.0	1.0	89.5260011243	89.7229346947	89.1518273404	89.3979943035	12408473.0	-	-0.142982842071	
2017-02-17	90.61	91.36	90.45	91.09	12152228.0	0.0	1.0	89.2207540901	89.9592549792	89.0632072337	89.6933946591	12152228.0	+	0.529742853913	
2017-02-21	90.58	91.8	90.58	91.67	9018703.0	0.0	1.0	89.1912140545	90.3925088342	89.1912140545	90.2645020134	9018703.0	+	1.20335614923	
2017-02-22	91.45	91.8	91.25	91.44	6749919.0	0.0	1.0	90.0478750859	90.3925088342	89.8509415155	90.0380284074	6749919.0	-	-0.0109349370994	
2017-02-23	91.61	91.8	90.91	91.13	7611638.0	0.0	1.0	90.2054219423	90.3925088342	89.5161544457	89.7327813732	7611638.0	-	-0.523960266382	
2017-02-24	90.97	91.34	90.67	91.05	6643265.0	0.0	1.0	89.5752345169	89.9395616222	89.2798341612	89.654007945	6643265.0	+	0.0879410793897	
2017-02-27	90.53	90.91	90.06	90.89	11840268.0	0.0	1.0	89.1419806619	89.5161544457	88.6791867713	89.4964610887	11840268.0	+	0.397658234838	
2017-02-28	90.9	91.79	90.65	91.07	10535619.0	0.0	1.0	89.5063077672	90.3826621557	89.2601408042	89.6737013021	10535619.0	+	0.187018701895	
2017-03-01	91.05	91.89	90.71	91.66	8792150.0	0.0	1.0	89.654007945	90.4811289409	89.3192208753	90.2546553349	8792150.0	+	0.669961559631	
2017-03-02	91.4	91.585	90.88	90.91	7030935.0	0.0	1.0	89.9986416933	90.180805246	89.4866144102	89.5161544457	7030935.0	-	-0.536105032834	
2017-03-03	90.8	90.82	89.8948	90.5	8341071.0	0.0	1.0	89.407840982	89.427534339	88.5165196422	89.1124406263	8341071.0	-	-0.330396475807	
2017-03-06	89.89	90.51	89.59	90.37	9533795.0	0.0	1.0	88.5117932365	89.1222873048	88.2163928808	88.9844338055	9533795.0	+	0.533985982791	
2017-03-07	90.14	90.49	90.06	90.29	5362951.0	0.0	1.0	88.7579601995	89.1025939478	88.6791867713	88.9056603774	5362951.0	+	0.166407810148	
2017-03-08	90.02	90.35	89.76	90.14	5513405.0	0.0	1.0	88.6398000573	88.9647404485	88.3837864157	88.7579601995	5513405.0	+	0.133303710211	
2017-03-09	90.14	90.49	90.095	90.34	5587379.0	0.0	1.0	88.7579601995	89.1025939478	88.7136501462	88.95489377	5587379.0	+	0.22187708016	
2017-03-10	90.8	91.16	90.65	91.07	6797742.0	0.0	1.0	89.407840982	89.7623214088	89.2601408042	89.6737013021	6797742.0	+	0.297356828193	
2017-03-13	91.06	91.49	90.85	91.31	7397472.0	0.0	1.0	89.6638546236	90.0872618	89.4570743746	89.9100215866	7397472.0	+	0.274544256471	
2017-03-14	91.26	91.59	90.82	91.0	6686388.0	0.0	1.0	89.860788194	90.1857285853	89.427534339	89.6047745524	6686388.0	-	-0.284900284924	
2017-03-15	91.0	91.78	90.73	91.4	7855256.0	0.0	1.0	89.6047745524	90.3728154772	89.3389142323	89.9986416933	7855256.0	+	0.439560439572	
2017-03-16	91.44	91.7199	91.1	91.44	6601208.0	0.0	1.0	90.0380284074	90.3136369393	89.7032413377	90.0380284074	6601208.0	-	0.0	
