Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-03-21,70.17,70.4,69.69,69.9,8746812.0,0.0,1.0,69.7065017485,69.9349825152,69.2296723222,69.4382851962,8746812.0
2017-03-22,70.03,70.34,69.72,70.25,6455594.0,0.0,1.0,69.5674264992,69.8753788369,69.2594741614,69.7859733195,6455594.0
2017-03-23,70.2,70.31,69.745,69.86,6898774.0,0.0,1.0,69.7363035876,69.8455769978,69.2843090273,69.3985494107,6898774.0
2017-03-24,69.99,70.17,69.5274,69.61,5858968.0,0.0,1.0,69.5276907136,69.7065017485,69.0681463541,69.1502007512,5858968.0
2017-03-27,69.52,70.07,69.36,69.66,5792586.0,0.0,1.0,69.0607952338,69.6071622847,68.9018520917,69.1998704831,5792586.0
2017-03-28,69.33,70.37,69.33,70.32,7252189.0,0.0,1.0,68.8720502526,69.9051806761,68.8720502526,69.8555109442,7252189.0
2017-03-29,70.35,71.18,70.31,70.74,6991046.0,0.0,1.0,69.8853127833,70.7098303329,69.8455769978,70.2727366921,6991046.0
2017-03-30,70.69,71.72,70.64,71.59,8141535.0,0.0,1.0,70.2230669602,71.2462634374,70.1733972283,71.1171221344,8141535.0
2017-03-31,71.32,72.56,71.23,72.08,9939780.0,0.0,1.0,70.8489055822,72.0807149333,70.7595000648,71.6038855071,9939780.0
2017-04-03,72.08,72.53,71.78,71.83,8291283.0,0.0,1.0,71.6038855071,72.0509130942,71.3058671157,71.3555368476,8291283.0
2017-04-04,71.74,72.06,71.532,72.01,5566767.0,0.0,1.0,71.2661313301,71.5840176143,71.0595052454,71.5343478824,5566767.0
2017-04-05,71.64,72.31,71.555,71.65,6354492.0,0.0,1.0,71.1667918663,71.8323662738,71.0823533221,71.1767258127,6354492.0
2017-04-06,71.7,72.1,71.38,71.43,5941103.0,0.0,1.0,71.2263955446,71.6237533998,70.9085092605,70.9581789924,5941103.0
