"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"	"Adj. Volume"	"+/-"	"% change"
"2016-10-05"	"2016-10-03"	"132.93"	"134.9"	"132.55"	"134.66"	"3137532.0"	"0.0"	"1.0"	"129.77904796166"	"131.70235138816"	"129.40805542254"	"131.46804031082"	"3137532.0"	"+"	"1.30143684646"
"2016-10-06"	"2016-10-04"	"134.83"	"135.0"	"133.68"	"134.42"	"3614860.0"	"0.0"	"1.0"	"131.63401065727"	"131.79998100372"	"130.51127007835"	"131.23372923348"	"3614860.0"	"-"	"-0.304086627606"
"2016-10-07"	"2016-10-05"	"133.93"	"134.66"	"132.54"	"133.85"	"4299180.0"	"0.0"	"1.0"	"130.75534411724"	"131.46804031082"	"129.39829246098"	"130.6772404248"	"4299180.0"	"-"	"-0.0597326961795"
"2016-10-10"	"2016-10-08"	"134.589"	"136.87"	"134.589"	"135.84"	"3343271.0"	"0.0"	"1.0"	"131.39872328377"	"133.62565481466"	"131.39872328377"	"132.62006977441"	"3343271.0"	"+"	"0.929496467026"
"2016-10-11"	"2016-10-09"	"134.94"	"135.69"	"133.27"	"133.74"	"3606630.0"	"0.0"	"1.0"	"131.74140323438"	"132.47362535107"	"130.11098865456"	"130.56984784768"	"3606630.0"	"-"	"-0.889284126279"
"2016-10-12"	"2016-10-10"	"133.76"	"134.28"	"133.0"	"133.16"	"2264188.0"	"0.0"	"1.0"	"130.58937377079"	"131.0970477717"	"129.84738869255"	"130.00359607744"	"2264188.0"	"-"	"-0.448564593302"
"2016-10-13"	"2016-10-11"	"132.42"	"133.93"	"131.39"	"133.38"	"3544190.0"	"0.0"	"1.0"	"129.28113692231"	"130.75534411724"	"128.27555188206"	"130.21838123167"	"3544190.0"	"+"	"0.724966017218"
"2016-10-14"	"2016-10-12"	"134.56"	"135.25"	"133.48"	"133.5"	"2317429.0"	"0.0"	"1.0"	"131.37041069526"	"132.04405504261"	"130.31601084723"	"130.33553677034"	"2317429.0"	"-"	"-0.787752675388"
"2016-10-17"	"2016-10-15"	"133.5"	"135.38"	"133.33"	"134.0"	"2435134.0"	"0.0"	"1.0"	"130.33553677034"	"132.17097354284"	"130.16956642389"	"130.82368484813"	"2435134.0"	"+"	"0.374531835205"
"2016-10-18"	"2016-10-16"	"135.03"	"135.74"	"134.915"	"135.1"	"2271047.0"	"0.0"	"1.0"	"131.82926988839"	"132.52244015885"	"131.71699583049"	"131.89761061928"	"2271047.0"	"+"	"0.0518403317775"
"2016-10-19"	"2016-10-17"	"135.42"	"136.95"	"135.33"	"136.18"	"2265864.0"	"0.0"	"1.0"	"132.21002538906"	"133.7037585071"	"132.12215873506"	"132.95201046731"	"2265864.0"	"+"	"0.561216954665"
"2016-10-20"	"2016-10-18"	"135.92"	"136.75"	"135.37"	"135.84"	"2539711.0"	"0.0"	"1.0"	"132.69817346685"	"133.50849927599"	"132.16121058128"	"132.62006977441"	"2539711.0"	"-"	"-0.058858151849"
"2016-10-21"	"2016-10-19"	"134.72"	"136.19"	"134.25"	"135.63"	"2205772.0"	"0.0"	"1.0"	"131.52661808015"	"132.96177342886"	"131.06775888703"	"132.41504758174"	"2205772.0"	"+"	"0.67547505939"
"2016-10-24"	"2016-10-22"	"136.41"	"138.88"	"136.41"	"137.45"	"3814097.0"	"0.0"	"1.0"	"133.17655858309"	"135.58801008738"	"133.17655858309"	"134.1919065849"	"3814097.0"	"+"	"0.762407448137"
"2016-10-25"	"2016-10-23"	"137.53"	"139.42"	"137.35"	"139.02"	"5206695.0"	"0.0"	"1.0"	"134.27001027734"	"136.11521001139"	"134.09427696934"	"135.72469154916"	"5206695.0"	"+"	"1.08339998546"
"2016-10-26"	"2016-10-24"	"138.43"	"146.19"	"136.72"	"145.54"	"13270976.0"	"0.0"	"1.0"	"135.14867681737"	"142.72473498469"	"133.47921039132"	"142.09014248356"	"13270976.0"	"+"	"5.13616990536"
"2016-10-27"	"2016-10-25"	"145.83"	"146.23"	"141.78"	"143.31"	"7857081.0"	"0.0"	"1.0"	"142.37326836868"	"142.76378683092"	"138.41926893857"	"139.91300205661"	"7857081.0"	"-"	"-1.72803949805"
"2016-10-28"	"2016-10-26"	"143.72"	"144.0"	"142.1745"	"143.01"	"4636040.0"	"0.0"	"1.0"	"140.3132834804"	"140.58664640397"	"138.80441777195"	"139.62011320994"	"4636040.0"	"-"	"-0.494016142496"
"2016-10-31"	"2016-10-29"	"143.05"	"143.35"	"142.15"	"142.43"	"3075889.0"	"0.0"	"1.0"	"139.65916505616"	"139.95205390284"	"138.78049851614"	"139.0538614397"	"3075889.0"	"-"	"-0.433414889898"
"2016-11-01"	"2016-10-30"	"142.95"	"143.9"	"141.81"	"142.41"	"3244997.0"	"0.0"	"1.0"	"139.5615354406"	"140.48901678841"	"138.44855782324"	"139.03433551659"	"3244997.0"	"-"	"-0.377754459598"
"2016-11-02"	"2016-10-31"	"142.0"	"142.87"	"140.59"	"140.75"	"2781915.0"	"0.0"	"1.0"	"138.6340540928"	"139.48343174816"	"137.25747651343"	"137.41368389832"	"2781915.0"	"-"	"-0.880281690142"
"2016-11-03"	"2016-11-01"	"140.76"	"140.895"	"139.35"	"140.02"	"2277503.0"	"0.0"	"1.0"	"137.42344685988"	"137.55524684088"	"136.0468692805"	"136.70098770474"	"2277503.0"	"-"	"-0.525717533396"
