"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"
"2016-12-09"	"2016-12-06"	"799.3"	"809.95"	"798.05"	"809.45"	"1904463.0"	"0.0"	"1.0"	"799.3"	"809.95"	"798.05"	"809.45"
"2016-12-12"	"2016-12-09"	"804.82"	"811.35"	"804.5311"	"807.9"	"1628602.0"	"0.0"	"1.0"	"804.82"	"811.35"	"804.5311"	"807.9"
"2016-12-13"	"2016-12-10"	"812.39"	"824.3"	"811.94"	"815.34"	"2128210.0"	"0.0"	"1.0"	"812.39"	"824.3"	"811.94"	"815.34"
"2016-12-14"	"2016-12-11"	"815.92"	"824.26"	"812.78"	"817.89"	"1799654.0"	"0.0"	"1.0"	"815.92"	"824.26"	"812.78"	"817.89"
"2016-12-15"	"2016-12-12"	"817.36"	"823.0"	"812.0"	"815.65"	"1769719.0"	"0.0"	"1.0"	"817.36"	"823.0"	"812.0"	"815.65"
"2016-12-16"	"2016-12-13"	"818.31"	"819.2"	"808.12"	"809.84"	"2598866.0"	"0.0"	"1.0"	"818.31"	"819.2"	"808.12"	"809.84"
"2016-12-19"	"2016-12-16"	"809.28"	"816.22"	"804.5"	"812.5"	"1263581.0"	"0.0"	"1.0"	"809.28"	"816.22"	"804.5"	"812.5"
"2016-12-20"	"2016-12-17"	"813.37"	"816.49"	"811.0"	"815.2"	"1271883.0"	"0.0"	"1.0"	"813.37"	"816.49"	"811.0"	"815.2"
"2016-12-21"	"2016-12-18"	"815.72"	"815.72"	"805.1"	"812.2"	"1459628.0"	"0.0"	"1.0"	"815.72"	"815.72"	"805.1"	"812.2"
"2016-12-22"	"2016-12-19"	"809.1"	"811.07"	"806.03"	"809.68"	"1132119.0"	"0.0"	"1.0"	"809.1"	"811.07"	"806.03"	"809.68"
"2016-12-23"	"2016-12-20"	"808.01"	"810.9696"	"805.11"	"807.8"	"765537.0"	"0.0"	"1.0"	"808.01"	"810.9696"	"805.11"	"807.8"
"2016-12-27"	"2016-12-24"	"808.68"	"816.0"	"805.8"	"809.93"	"975962.0"	"0.0"	"1.0"	"808.68"	"816.0"	"805.8"	"809.93"
