2-faced,farced_facet_fazed_faces_face_
bores,pain in the neck_wimp_pain_nag_yawn_
boring,tedious_mundane_monotonous_stodgy_humdrum_
botch,bumble_screw up_err_miscalculate_flub_
bother,aggravation_distress_strain_irritation_perplexity_
bothered,distressed_troubled_agitated_disturbed_harried_
bothering,pestering_botheration_disturbance_exasperation_harassment_
bothers,aggravation_distress_strain_irritation_perplexity_
bothersome,distressing_troublesome_disturbing_inconvenient_annoying_
bowdlerize,expurgate_edit_redact_
boycott,cut off_refuse_spurn_avoid_snub_
braggart,know-it-all_egotist_windbag_boaster_blowhard_
bragger,windbag_boaster_blowhard_brag_braggadocio_
brainless,mindless_dumb_foolish_imbecile_senseless_
brainwash,indoctrinate_educate_convert_influence_persuade_
brash,impetuous_bold_rude_cocky_cheeky_
brashly,rudely_pertly_impertinently_insolently_presumptuously_
brashness,boldness_nerve_discourtesy_gall_overconfidence_
brat,rascal_punk_devil_urchin_kid_
bravado,bluster_grandiosity_blowing_boasting_swelling_
brazen,impudent_bold_audacious_blatant_unabashed_
brazenly,willingly_plainly_publicly_candidly_fully_
brazenness,nerve_discourtesy_gall_overconfidence_presumptuousness_
breach,rift_rupture_crack_fissure_opening_
break,hole_crack_gap_rift_division_
break-up,separation_hostility_disunity_schism_alienation_
break-ups,separation_hostility_disunity_schism_alienation_
breakdown,disruption_disintegration_mishap_failure_neurosis_
breaking,crumbling_fracturing_splintering_collapsing_smashing_
breaks,hole_crack_gap_rift_division_
breakup,breakdown_divorce_dissolution_split_separation_
breakups,breakdown_divorce_dissolution_split_separation_
bribery,extortion_bribe_ransom_protection_tribute_
brimstone,broomstick_breaks down_brim_
bristle,fiber_point_spine_thorn_barb_
brittle,breakable_crisp_frail_crumbling_crumbly_
broke,penniless_insolvent_destitute_bankrupt_strapped_
broken,injured_damaged_defective_crippled_mutilated_
broken-hearted,broken hearts_broken heart_be brokenhearted_
brood,offspring_progeny_family_clutch_breed_
browbeat,bully_hector_intimidate_coerce_harass_
bruise,blemish_swelling_black eye_wound_injury_
bruised,mar_injure_blacken_wound_crush_
bruises,blemish_swelling_black eye_wound_injury_
bruising,mar_injure_blacken_wound_crush_
brusque,terse_gruff_blunt_abrupt_bluff_
brutal,savage_barbarous_harsh_rude_ruthless_
brutalising,brutalize_bridling_
brutalities,savagery_inhumanity_cruelty_barbarity_barbarism_
brutality,savagery_inhumanity_cruelty_barbarity_barbarism_
brutalize,dehumanize_demoralize_pervert_debase_debauch_
brutalizing,dehumanize_demoralize_pervert_debase_debauch_
brutally,viciously_fiercely_savagely_in cold blood_meanly_
brute,animal_beastly_bestial_bodily_carnal_
brutish,natural_bodily_wild_brute_beastly_
bs,silliness_farce_craziness_folly_foolishness_
buckle,clamp_clip_catch_harness_fastening_
bug,microbe_virus_disease_infection_germ_
bugging,annoy_harass_pester_irk_irritate_
buggy,wagon_cart_vehicle_caboose_shay_
bugs,microbe_virus_disease_infection_germ_
bulkier,heavy_hulking_cumbersome_ponderous_unwieldy_
bulkiness,peril_inconvenience_risk_danger_unmanageability_
bulky,heavy_hulking_cumbersome_ponderous_unwieldy_
bulkyness,sulkiness_blackness_bleakness_bulkinesses_silkiness_
bull****,bulla_bully_bullae_buller_bill_
bull----,bulla_bully_bullae_buller_bill_
bullies,oppressor_rascal_ruffian_tough_tease_
bullshit,bull_crap_rubbish_gibberish_hogwash_
bullshyt,bullest_bullet_buckshot_blush_blusher_
bully,oppressor_rascal_ruffian_tough_tease_
bullying,imperious_despotic_hectoring_swaggering_blustering_
bullyingly,bullyings_bellying_blazingly_bellying to_bellying up_
bum,derelict_stiff_vagrant_drifter_tramp_
bump,knock_crash_smack_jerk_rattle_
bumped,knock_crash_smack_jerk_rattle_
bumping,knock_crash_smack_jerk_rattle_
bumpping,bumming_bumpkin_dumping_humping_jumping_
bumps,knock_crash_smack_jerk_rattle_
bumpy,uneven_rugged_jarring_jerky_choppy_
bungle,flub_gum up_err_miscalculate_botch_
bungler,clod_donkey_dunce_blunderer_butterfingers_
bungling,amateurish_awkward_gauche_inapt_inept_
bunk,rubbish_baloney_hogwash_garbage_claptrap_
burden,load_duty_onus_hardship_strain_
burdensome,onerous_taxing_demanding_oppressive_difficult_
burdensomely,badly_vigorously_severely_awkwardly_carefully_
burn,ignite_incinerate_light_torch_melt_
burned,parched_burnt_scorched_charred_cauterized_
burning,scorching_flaming_searing_hot_glowing_
burns,ignite_incinerate_light_torch_melt_
bust,front_chest_breast_bosom_
busts,front_chest_breast_bosom_
busybody,buttinsky_rubberneck_meddler_snoop_eavesdropper_
butcher,slayer_slaughterer_boner_skinner_processor_
butchery,bloodbath_carnage_slaughterhouse_slaughter_killing_
buzzing,reverberate_hum_whisper_bumble_sibilate_
byzantine,complicated_convoluted_detailed_devious_difficult_
cackle,giggle_guffaw_quack_chortle_cluck_
calamities,hardship_collapse_scourge_misfortune_mishap_
calamitous,lamentable_grievous_unfortunate_catastrophic_regrettable_
calamitously,calamities_commodiously_clumsily_
calamity,hardship_collapse_scourge_misfortune_mishap_
callous,insensitive_unsympathetic_heartless_careless_cold-blooded_
calumniate,revile_scandalize_slur_smear_blacken_
calumniation,obloquy_aspersion_defamation_malice_denigration_
calumnies,defamation_lie_
calumnious,defamatory_injurious_libelous_scandalous_calumniatory_
calumniously,luminously_voluminously_
calumny,defamation_lie_
cancer,tumor_corruption_malignancy_disease_sickness_
cancerous,destructive_harmful_mortal_carcinogenic_
cannibal,savage_ogre_primitive_brute_aborigine_
cannibalize,dismantle_disassemble_strip for repair_
capitulate,cede_defer_concede_bow_relent_
capricious,whimsical_wayward_quirky_unreasonable_helter-skelter_
capriciously,carelessly_unevenly_eccentrically_
capriciousness,peculiarity_idiosyncrasy_foible_quirk_abnormality_
capsize,invert_upset_roll_keel over_turn over_
careless,indifferent_indiscreet_inaccurate_wasteful_hasty_
